Código do Produto;Descrição;Preço de Compra;Quantidade em Estoque;Preço de Venda
PROD001;Caneta Esferográfica Azul;0.50;150;1.20
PROD002;Caderno Universitário 96fls;8.00;75;15.00
PROD003;Lápis Preto HB;0.30;200;0.80
PROD004;Borracha Branca;0.40;180;0.95
PROD005;Apontador com Depósito;1.50;100;3.00
PROD006;Cola Branca Líquida 40g;2.00;90;4.50
PROD007;Tesoura Escolar Ponta Redonda;3.50;60;7.00
PROD008;Mochila Escolar Básica;45.00;25;89.90
PROD009;Estojo Escolar Simples;10.00;40;22.00
PROD010;Bloco de Notas Adesivas;5.00;120;10.00
PROD011;Pasta Aba Elástica;2.50;110;5.00
PROD012;Caneta Marca Texto Amarela;2.80;95;5.50
PROD013;Giz de Cera 12 Cores;7.00;50;14.00
PROD014;Tinta Guache 6 Cores;9.00;45;18.00
PROD015;Pincel Escolar Nº8;4.00;70;8.00
PROD016;Régua 30cm Plástica;1.20;130;2.50
PROD017;Calculadora Simples;15.00;30;30.00
PROD018;Grampeador Pequeno;12.00;35;25.00
PROD019;Caixa de Clipes;3.00;100;6.00
PROD020;Corretivo Líquido;3.20;80;6.50
PROD021;Agenda Diária 2025;20.00;20;40.00
PROD022;Caneta Gel Preta;4.50;60;9.00
PROD023;Etiquetas Adesivas (folha);1.00;150;2.20
PROD024;Fita Adesiva Transparente;1.80;110;3.50
PROD025;Folha Sulfite A4 pct 100;6.00;70;12.00
PROD026;Prancheta com Prendedor;7.50;40;15.00
PROD027;Compasso Escolar;11.00;25;22.00
PROD028;Transferidor 180°;2.00;90;4.00
PROD029;Lapiseira 0.7mm;6.00;55;12.00
PROD030;Mina Grafite 0.7mm;2.50;80;5.00
